Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
485,Dominic Smith*,28,WSN,NL,61,254,225,26,59,5,0,2,16,0,0,24,38,.262,.343,.311,.654,86,70,8,4,0,1,0,*3/DH,smithdo02
486,Josh H. Smith*,25,TEX,AL,41,118,95,17,20,4,0,3,5,1,0,14,33,.211,.359,.347,.706,98,33,1,8,1,0,0,67/DH54,smithjo11
487,Kevin Smith,26,OAK,AL,31,96,89,9,17,1,0,4,8,1,0,2,33,.191,.209,.337,.546,54,30,1,0,5,0,0,6/5H,smithke05
488,Pavin Smith*,27,ARI,NL,48,172,148,23,31,5,0,7,27,0,1,23,35,.209,.316,.385,.701,93,57,1,0,0,0,0,D9/H3,smithpa04
489,Will Smith,28,LAD,NL,47,202,165,31,48,9,0,9,33,1,0,30,23,.291,.396,.509,.905,142,84,2,2,0,5,0,2/DH,smithwi05
490,Canaan Smith-Njigba*,24,PIT,NL,15,37,32,3,4,1,1,0,5,1,0,4,16,.125,.216,.219,.435,21,7,1,0,0,1,0,9/H7,smithca05
491,Nick Solak,28,TOT,MLB,2,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/HD,solakni01
492,Nick Solak,28,ATL,NL,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/H,solakni01
493,Nick Solak,28,DET,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/DH,solakni01
494,Donovan Solano,35,MIN,AL,55,173,152,14,43,13,0,1,12,0,0,17,38,.283,.370,.388,.758,113,59,3,4,0,0,1,3H/D45,solando01
495,Jorge Soler,31,MIA,NL,62,260,229,35,59,12,0,19,38,1,0,27,65,.258,.346,.559,.905,144,128,6,4,0,0,2,*D9/H,solerjo01
496,Edmundo Sosa,27,PHI,NL,48,144,137,13,35,7,0,4,13,1,2,2,35,.255,.275,.394,.669,82,54,5,2,1,1,0,5/6H8,sosaed01
497,Lenyn Sosa,23,CHW,AL,22,70,68,4,9,3,0,1,3,0,0,1,16,.132,.145,.221,.366,-1,15,0,0,1,0,0,4/5H,sosale01
